@relation youtube_full

@attribute text STRING
@attribute @@class@@ {negative,neutral,positive}

@data
"refresh concept bad boy villain mafia ceo need see matur men concept kpop",neutral
"congrat atini addict jam",neutral
"crime dont studio choom version",neutral
"best vocal rap line",neutral
"carat right heree_ ateez ice teeth x seventeen love money fame",neutral
"guy get mubeat widen gap gogogo",neutral
"join ststionhead atini streem parti",neutral
"dont forget visit answer left",neutral
"eat chocol accord mingi",neutral
"visual comeback crazili good happi",neutral
"eye hong joong white teeth",neutral
"swing answer",neutral
"yall proudli say probabl million view mv spirit thanksgiv grate piec art lol",neutral
"congrat ice teeth u say ateez kim woojin",neutral
"continu end",neutral
"cant get head",neutral
"like chocol purpos gave mingiiii",neutral
"mubeat vote music core ongo",neutral
"morn let best today",neutral
"littl littl ateez get",neutral
"ice teeth ice teeth white tee say unison",neutral
"hello atini midzi support let get ice teeth x gold",neutral
"ateez music bank pre vote hope theyll receiv st ever win comeback come friday",neutral
"good morn atini friendswish wounder wednesday",neutral
"san look scare",neutral
"day sinc releas time fli fast",neutral
"day night",neutral
"im dream",neutral
"everyth song beauti thank nct dream alway give us masterpiec",neutral
"thankyou sing beauti song thankyou alway happi healthi dreami guy realli human medicin wish album success wait dreami td concert jakarta wish chanc meet dreami",neutral
"oyi ayukkk stream pli",neutral
"nct dream best",neutral
"congrasttt",neutral
"sugohesso",neutral
"kecanduan im",neutral
"like increas well",neutral
"fight",neutral
"come nopogi time stay internet well agre shownu catchi inde",neutral
"come guy",neutral
"dont forget listen song music platform",neutral
"alway listen song wherev let watch listen mv often definit give lot win dream long stay consist",neutral
"dont forget vote dream allchart pre vote guy",neutral
"let consist strming let go guy fight",neutral
"met alreadi love love song theyr great im brazil theyv gone far",neutral
"still dreami",neutral
"fight everyon",neutral
"sad okay",neutral
"keep stream guy dream",neutral
"sedih mian dream",neutral
"mc jeno back",neutral
"pliss ayo ttp stream gyu",neutral
"feel jisung shine bright voic sing soo coool",neutral
"choreo honestli look fun def teach one studio",neutral
"wait behind scene",neutral
"day night think dreami",neutral
"guy next comeback need spirit nct dream least mv first hs",neutral
"know mean",neutral
"im im blind",neutral
"best vocal visual",neutral
"anyon keep spirit",neutral
"im",neutral
"im armi stay fan heartbreak sad see tiktok twt hate fan hate wtf like im sure work hard comeback even though idk mayb fan expect pleas respect boy idol also human guyss dont like song stfu support guy goddamn fan gosh suppos number support wtf",neutral
"wiwi rd win music core",neutral
"let cmment amaz saturday dream song tell everyon esp knet dream song amaz",neutral
"nov happi birthday chenl",neutral
"keep watch mv pleas",neutral
"stream pl otw",neutral
"go slowlu",neutral
"yall still stream want say thank fight",neutral
"fight",neutral
"almost like let keep strming use mubank perform week filler",neutral
"keep stream guy let go win next mushow fight dream",neutral
"let go",neutral
"song amaz",neutral
"im im",neutral
"best song year",neutral
"im rd winn",neutral
"congrast nct dream dreamzen",neutral
"im back",neutral
"kereen third win",neutral
"congrat third win dreamiesss",neutral
"song masterpiec cant stop listen helppbro done make obsess",neutral
"happi rd win wiwi",neutral
"pleas watch music bank perform lot add broadcast point",neutral
"let go next week",neutral
"guy let stream littl go go go",neutral
"wiwi rd win cheer",neutral
"th win dreami let strammm guyssss",neutral
"congrat dreami hwait dreamzen",neutral
"congrat dream",neutral
"jisung bag",neutral
"rd win congrat dreami",neutral
"fight",neutral
"realli cute help",neutral
"nct dream wiwi rd win yeyi",neutral
"let make win music show let go let go jeno mc need win keep stream",neutral
"congrat dream im rd win whenimwithyourdwin nctdreamrdwin",neutral
"us danc song best refresh love",neutral
"menikmati hujan sambil nonton im",neutral
"na jaemin",neutral
"ive replay album two week great album",neutral
"im dream",neutral
"congratul st win show champion nd win music bank rd win music core th win",neutral
"obsess song",neutral
"like song",neutral
"love nct",neutral
"anyon still stream masterpiec",neutral
"congratul dreami",neutral
"fan choic male",neutral
"nct dream",neutral
"way mv gonna new view week happen everyon collect give stream",neutral
"replayyyi teruss",neutral
"love nct doesnt matter dream wayv wish stream im high five steadi walk",neutral
"fight",neutral
"chenl bridg let go",neutral
"let go third win",neutral
"haechan falsettoish highnot ascend heaven yall",neutral
"renjun best",neutral
"anyway congratul dreami alway proud",neutral
"sinc yesterday think yt freez vlew let censor word strm pl idk anymor isnt like first week",neutral
"dont count old kpop group count best success young boy group teenag time still ye still young cheer",neutral
"preciou memori happen today jaemin mc chenl bd wiwi nd win mama fan choic take care health dreami",neutral
"chenl birthday jaemin mc dream mushow nd trophi mama fan choic best day ever",neutral
"album great hope dream happi nct dream never lose",neutral
"happi birthday chenl love",neutral
"yessssss im blind ur crazi visual",neutral
"come everyon",neutral
"congratul dream win mama fan choic male",neutral
"nct dreammmmm congratulatiooooonnnnn",neutral
"happi rd birthday chenl",neutral
"feel happi cannot describ success bring home trophi dream let gather energi fight hard regret minim possibl congratul dream dreamzen happi birthday angel chenl",neutral
"im day night mujigaereul daleun neon nal binnag hae im im blind nan neoman boyeo eoneusa eojireowo babe neoui du nuneul bomyeon saljjak meomchitha akka junbihaetdeon maldo itg dwae seollemi jeomjeom deo keojyeo kkumeul bon deutha nae mame ilgop gaji jangmyeon damana mallo da pyohyeon mot hal gamjeong sok keojineun kkeullim sesangi black white neoman ppaego ppeonhan neukkim yeah yeah yeah im day night mujigaereul daleun neon nal binnag hae im im blind du nune beonjyeoganeun saek neora bureulla im im im im bulg muldeuneun feel nae mameul piwona modeun gamgakdeureul kkaewo scent sigyetbaneuldo meomchwo goyohaejin place keug ullyeo peojin simjang sori eodinga cheoeum bon deuthan jangmyeon sok sinbiroun neukkim deo yoksimna make mine tumyeonghi nal dameun ne nunbit yeah yeah yeah im day night mujigaereul daleun neon nal binnag hae im im blind du nune beonjyeoganeun saek neora bureulla im honjabodan duri joa duri bodan neoga joa know mean mean honjabodan duri joa duri bodan neoga joa know mean mean joa boda joeun geon love know know mean yeah yeah honjabodan duri joa duri bodan neoga joa know mean mean im satisfi matdaeun eye shine bright nal seolleg hae nal kkumkkug hae yeah yegodo eopsi neon naegero ssodajyeo geoya deo wanjeonhaejyeo caus im day night night mujigaereul daleun neon nal binnag hae im im im blind ooh im blind du nune beonjyeoganeun saek neora bureulla im honjabodan duri joa duri bodan neoga joa know mean mean honjabodan duri joa duri bodan neoga joa know mean mean im im im honjabodan duri joa duri bodan neoga joa know mean mean honjabodan duri joa duri bodan neoga joa know mean mean im im",neutral
"happi birthday chenl",neutral
"nct song beauti wonder like member handsom hardwork idol career like dream concept song im thank haechan haechan doyoung reason enter neo cultur technolog world czenni",neutral
"wiwi nd win mama fan choic congrat dreami happi birthday uri chenl",neutral
"congratul nd win wiwi",neutral
"happi birthday chenl",neutral
"aa dreami second win congrat dreamiess",neutral
"fight",neutral
"congrat dream happi birthday chenl",neutral
"congrat dreami happi birthday chenl",neutral
"td lima peru",neutral
"congratul nd win",neutral
"dream",neutral
"chenl happi birthday",neutral
"yeah yeah yeah im",neutral
"congrat nd win dreammm",neutral
"musicbanknct dream whenimwithyoundwin happychenleday",neutral
"nd win congrat dreami",neutral
"today nd win meaning",neutral
"congrat dream",neutral
"love dream",neutral
"happi birthday chenl congratul st music bank",neutral
"nd win",neutral
"deserv view deserv win music show deserv soti",neutral
"dont forget vote dreami mnet guy",neutral
"chenl birthday pleas",neutral
"happiest birthday babi chenlee wish best",neutral
"honestli best nct song sinc neozon came incred",neutral
"fight guysss",neutral
"best",neutral
"hbd chenl love song much let go nct dreammm",neutral
"love nct dream",neutral
"love im",neutral
"let give nd win dreami mubank today",neutral
"let give dream anoth trophi",neutral
"guy let stream still chanc win next week mushow",neutral
"havent guy group almost year point id expect someth person least matur concept",neutral
"realli addict song",neutral
"cuyyy stuck",neutral
"czenni love dreami im perfect love brazil",neutral
"happi birthday hope best birthday ever",neutral
"let get win music bank today super excit encor stage dreami",neutral
"let go dream",neutral
"happi birthday chenl",neutral
"stream guyssss",neutral
"let pray togeth luck dream side guyss",neutral
"im fallin love song",neutral
"happi birthday lele",neutral
"start morn listen songlet cheer everyon give dream lot win",neutral
"happi birthday chenl",neutral
"td lima peru",neutral
"happi birthday tuan muda chenl",neutral
"td lima pleas nct dream come back peru",neutral
"stream teru gayssss",neutral
"happi birthday chenlee",neutral
"view stuck keep streamingidk wkwk",neutral
"happi birthday chenl",neutral
"morn",neutral
"guy",neutral
"happi chenl dayyy",neutral
"congratul nct dream come back third win show champion music bank music core",neutral
"today chenl birthday happi birthday chenl",neutral
"ill never get enough jisung sing",neutral
"guy think need mass sream deserv much express",neutral
"let stop stream hit guy",neutral
"nct dream best boy",neutral
"im",neutral
"guy need make win tomorrow music bank chenl birthday jaemin special mc",neutral
"one best album",neutral
"stream teru guy",neutral
"love chenl bridg much",neutral
"icon chenl bridg",neutral
"puzzl piec omg",neutral
"bad thing song doesnt last long",neutral
"keep come back music video liter chang live",neutral
"sister show mv yesterday didnt watch listen sinc came world happi see ryan hugh stray kid mv wholesom friendship sn",neutral
"everyon tri search stray kid googl there new featur",neutral
"love changbin",neutral
"happi birthday stay im proud",neutral
"sad discov heard song past fell love ate feel bit sad lost much time preciou moment",neutral
"know stray kid best",neutral
"let go",neutral
"stay",neutral
"mani time play stray kid",neutral
"yup im fan ccb news",neutral
"ate comeback",neutral
"calm give deserv",neutral
"talent insan",neutral
"happi bd stay",neutral
"stay fight",neutral
"one lee know a a",neutral
"come soon",neutral
"omg favorit enhypen mv ever",neutral
"didnt jyp give ad",neutral
"woooooow stari kid bangchang chanbin lee know han hyunjin sungmin felix love song much love th year old birthday august love guy cool cute handsom",neutral
"yesterday spent whole day listen song stay day kskqjqkak",neutral
"bro liter save summer that song special aura hear immedi want danc let get million",neutral
"stray kid world domin",neutral
"cecilia first go",neutral
"yallll got ryan reinold",neutral
"chan cok atwslisin",neutral
"stray kid music video addict",neutral
"stay go",neutral
"hayir eleven ya da olemez ama teoril mikein olecegini ba ba bairiyor mike olurs aglarim ama steve de byk ihtimal olecekmi ama umarim olmez yoksa depresyon hirerim ama en cok olmasini istedigim sey eddienin geri gelmesi",neutral
"love stray kid want say awesom comeback blew mind especi never disappoint",neutral
"im stream skincar hahaha",neutral
"eat ryan fool us",neutral
"even day still continu listen without get bore made legendari song skz",neutral
"song best song ive ever heard",neutral
"amaz guy love",neutral
"need point mushow pleas rememb dont give",neutral
"omg spanish ryan cameo ate",neutral
"ofsenaof",neutral
"simpli incred",neutral
"cant get mv love",neutral
"stray kid secret boyfriend think cute im sad",neutral
"tin tin tintintintin chk chk boom",neutral
"song bang boil face doesnt look normal korean repres korea makeup shit toxic cultur seem",neutral
"love word catastroph sound dont hear often even impact song",neutral
"said need older groupmatei think mean new groupmat came stray kidsguy pl say mean that joke",neutral
"k pop take right reason",neutral
"stray kid thank everyth us channi thank make beauti name minho thank good job binni thank power effort hyunni thank emot feel hanni thank song lyric smile lixi thank sunshin sweet messag minni thank diamond voic support us inni thank tell us beauti word smile stag cutest face love moon",neutral
"happi anniversari dear stay everi year member togeth well take care selv ilov im proud stayyyyy",neutral
"im addict thisssnkdkdn",neutral
"love love life may etern ate muero hablaron espaol",neutral
"stray kid world domin",neutral
"stay keep stramng soon",neutral
"still cant believ well skz done god dududu that deadpool theme deadpool wolverin mv im proud",neutral
"suit green vest give lokiiii sorri theyr move fast see",neutral
"ceyli nbrr",neutral
"platinum blond felix give major hector castlevania vibe",neutral
"stray kid made revolutionari special amaz album",neutral
"ugh song damn good",neutral
"danceracha outdid themself time cant believ talent peopl exist rap line vocal goin",neutral
"omg mv got soo emot like end mv damnnn",neutral
"chef kiss",neutral
"best",neutral
"good amaz well done stray kid came support fellow stay well go back brought heat back engen",neutral
"bc cheap trick obv stream silent stream instead flaunt fan work chariti idk know fandom beg activ group fandom view bc help stram also bc xyz group get success bc fandom help like trick mafia behind new stan would understand whole scenario lot type comment hope understand im tri say",neutral
"happi stay day last time today yall",neutral
"back watch stray kid mv caus heart cant take grown much proud happi stay day last time today yall log",neutral
"freakin bombshel",neutral
"could anyon beat stray kid",neutral
"love song",neutral
"stray kid handsom perceft mv bia jeongin",neutral
"soon youtub block russia",neutral
"stray kid leader fourth gener",neutral
"collab jyp pleas",neutral
"boy grow well stay",neutral
"everytim watch stray kid mv",neutral
"might stupid ccb news stand chk chk book news coz know bbc news",neutral
"hyunjin leeknow last part one tge histori",neutral
"k happi million goodnight stay jensett spot x chk chk boom",neutral
"boom boom chk chk boom surpass",neutral
"utterli complet obsess video song god menu final competitor st place heart",neutral
"boom boom chk chk boom",neutral
"stray kid amaz",neutral
"refer love skzzz",neutral
"fantasi bibora x love x chk chk boom",neutral
"make sob",neutral
"arriv week aee chk chk boom",neutral
"bang christoph chan look good damn u look good edit thx much like like omg like sec",neutral
"coolest mv ever",neutral
"love bangchan wish could get autograph wish",neutral
"beauti",neutral
"feel much effort spent comeback one ate realll",neutral
"first time watch",neutral
"even youtub think shit ate",neutral
"music video insan cant get enough",neutral
"fill truck yeah want riiiiiiiid boom hit like truck imma make flyyyyi",neutral
"let make real quick",neutral
"stray kid best world",neutral
"oha lan kims yok ortam nerd",neutral
"afraid summer would like",neutral
"rap vocal visual choreographi perfect",neutral
"felix changbin rrrrrrra part give newton vibe like uhh even say scienc student realli song attract graviti",neutral
"thing brain forev",neutral
"ate swallow leav crumb",neutral
"whole song part",neutral
"song",neutral
"stay let work hard music core inkiyago win",neutral
"chk chk boom",neutral
"come",neutral
"beauti mv ever seen",neutral
"stray kid kid everywher around world make stray kid stay life choic fandom light hous spark hellav hugour knowour dwekkiour jinnieour quokkaour chickenour puppyour babi breadour world cant hurt r sheild sword homew protect dont worri go ur waypur wing never whatev happen go love stay love stray kid",neutral
"favorit music video ever oh gosh guy make best music",neutral
"song soooo fckggg gowdddddd",neutral
"stray kid forev favorit group stray kid everywher around world",neutral
"stray kid chk chk boom highest chart th gener boy group song circl weekli global chart chk chk boom maniac sclass good boy gone bad lalalala sugar rush ride",neutral
"lee know",neutral
"cool",neutral
"never understand feel love someon never met found stray kid help toughest moment life im forev grate",neutral
"happi birthday stayi",neutral
"long watch chk chk boom",neutral
"well alway",neutral
"support stray kid forev",neutral
"guy come let get soon",neutral
"best releas mannnn",neutral
"thank hugh ryan",neutral
"member shine comeback",neutral
"forev proud stay im grate found right time stray kid",neutral
"want see felix drama",neutral
"stray kid everywher around world",neutral
"chk chk boom",neutral
"first dayi one sing along kingsbut whole famili sing alongayeee chk chk boom",neutral
"stray kid home",neutral
"bit late happi birthday stay",neutral
"alway great comeback stray kid leader kpop industri",neutral
"second man alreadi actor watch six seri",neutral
"watch lighten mood watch stray kid mv",neutral
"crossov song video danc that want",neutral
"who sound goe viral",neutral
"k lobo cannot stop hunt jensett spot x chk chk boom",neutral
